Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;in. conf. de Computação Paralela;Alfa;Desvio padrão;Tamanho;;;;;;;;;;;;;;;;
pth;1;16;0,000249;0,000026;0,000287;0,000180;0,026939794;0,5;0,126305;10;;;;;;;;;;;;;;;;
pth;1;16;0,000117;0,000034;0,000158;0,000053;;;;;;;;;;0,00;10,00;20,00;30,00;40,00;50,00;60,00;70,00;80,00;90,00;100,00
pth;1;16;0,000132;0,000068;0,000211;0,000243;;;;;;;;;;Input;16;32;64;128;256;512;1024;2048;4096;8192
pth;1;16;0,000197;0,000056;0,000263;;;;;;;;offset;;Threads;Média;;;;;;;;;;
pth;1;16;0,000205;0,000057;0,000274;;;;;;;;0;;1;;0,0001797;0,0003216;0,00093;0,003395;0,0110409;0,0318331;0,1067903;0,3643774;1,2518265;4,1922224
pth;1;16;0,000197;0,000066;0,000273;;;;;;;;110;;2;;0,0001433;0,0002087;0,0005498;0,0018513;0,0064781;0,0193015;0,0571706;0,188751;0,6419594;2,134954
pth;1;16;0,000185;0,000033;0,000225;;;;;;;;220;;4;;0,0001409;0,0002095;0,0004406;0,0014865;0,0050781;0,0164157;0,0516457;0,1721688;0,5921262;1,9498497
pth;1;16;0,000128;0,000070;0,000206;;;;;;;;330;;8;;0,0001645;0,0002368;0,0003997;0,0010306;0,003567;0,0133257;0,0436597;0,1419887;0,4878244;1,6030787
pth;1;16;0,000201;0,000065;0,000278;;;;;;;;440;;16;;0,0002989;0,0003307;0,0003926;0,0010079;0,0026183;0,0096984;0,0317075;0,1050028;0,3516418;0,71778675
pth;1;16;0,000186;0,000056;0,000252;;;;;;;;550;;32;;0,0005011;0,0004574;0,0004945;0,0008749;0,0030725;0,0086459;0,0276806;0,0856338;0,279978;0,564020375
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;32;0,000248;0,000046;0,000301;0,000322;;;;;;;;;;;;;;;;;;;;
pth;1;32;0,000252;0,000051;0,000311;;;;;;;;;;;;;;;;;;;;;
pth;1;32;0,000400;0,000049;0,000455;;;;;ALFA;POP;;;;Threads;Desvio padrão;Inter. conf.;;;;;;;;;
pth;1;32;0,000246;0,000043;0,000295;;;;;0,5;10;;;;1;0,126304525;0,026939794;;;;;;;;;
pth;1;32;0,000251;0,000071;0,000334;;;;;;;;;;2;0,065354068;0,013939525;;;;;;;;;
pth;1;32;0,000262;0,000072;0,000345;;;;;;;;;;4;0,059695373;0,012732569;;;;;;;;;
pth;1;32;0,000264;0,000072;0,000347;;;;;;;;;;8;0,049334917;0,010522762;;;;;;;;;
pth;1;32;0,000463;0,000077;0,000552;;;;;;;;;;16;0,036412235;0,007766452;;;;;;;;;
pth;1;32;0,000403;0,000045;0,000455;;;;;;;;;;32;0,02965861;0,006325956;;;;;;;;;
pth;1;32;0,000427;0,000046;0,000480;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,001265;0,000158;0,001435;0,000959;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,001131;0,000163;0,001305;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,001130;0,000205;0,001351;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,001373;0,000098;0,001478;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,000761;0,000167;0,000941;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,000764;0,000182;0,000959;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,000963;0,000188;0,001165;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,000749;0,000174;0,000935;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,000737;0,000092;0,000836;;;;;;;;;;;;;;;;;;;;;
pth;1;64;0,000721;0,000095;0,000823;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,002685;0,000519;0,003218;0,004054;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,002692;0,000646;0,003352;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,005344;0,000868;0,006227;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,002698;0,000528;0,003239;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,002720;0,000545;0,003279;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,005425;0,000324;0,005756;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,005465;0,000389;0,005862;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,005463;0,000622;0,006099;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,005360;0,000289;0,005657;;;;;;;;;;;;;;;;;;;;;
pth;1;128;0,002690;0,000530;0,003233;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,013709;0,001956;0,015680;0,013356;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,013684;0,001940;0,015640;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,014691;0,001923;0,016630;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,017029;0,002830;0,019878;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,011532;0,003074;0,014626;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,010527;0,001863;0,012406;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,015724;0,001951;0,017688;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,010438;0,001679;0,012131;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,013920;0,001955;0,015891;;;;;;;;;;;;;;;;;;;;;
pth;1;256;0,012304;0,001017;0,013336;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,041473;0,006632;0,048126;0,043871;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,045086;0,007691;0,052796;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,041584;0,010079;0,051684;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,044415;0,006163;0,050598;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,046147;0,007551;0,053714;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,047240;0,007649;0,054911;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,040997;0,006996;0,048013;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,043168;0,008860;0,052049;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,047109;0,007617;0,054746;;;;;;;;;;;;;;;;;;;;;
pth;1;512;0,041489;0,003988;0,045495;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,167271;0,028378;0,195672;0,167989;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,171380;0,019562;0,190957;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,174326;0,022071;0,196418;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,170773;0,020310;0,191099;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,164150;0,022246;0,186419;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,164323;0,023513;0,187856;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,164296;0,022409;0,186724;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,164190;0,024377;0,188588;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,170628;0,026803;0,197456;;;;;;;;;;;;;;;;;;;;;
pth;1;1024;0,168556;0,031905;0,200482;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,663284;0,088341;0,751645;0,661841;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,655610;0,090607;0,746243;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,661373;0,089816;0,751217;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,667364;0,087745;0,755137;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,659593;0,088422;0,748040;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,662387;0,085952;0,748363;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,659881;0,084439;0,744345;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,662706;0,104090;0,766816;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,662393;0,082909;0,745328;;;;;;;;;;;;;;;;;;;;;
pth;1;2048;0,663818;0,087472;0,751316;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,629958;0,353493;2.983.474;2,626613;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,626158;0,369830;2.996.011;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,624007;0,360446;2.984.475;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,623727;0,355532;2.979.282;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,636812;0,366986;3.003.823;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,622915;0,385770;3.008.710;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,631583;0,382134;3.013.737;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,620218;0,351587;2.971.826;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,626431;0,365249;2.991.701;;;;;;;;;;;;;;;;;;;;;
pth;1;4096;2,624324;0,347049;2.971.393;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,467926;1.419.767;11.887.718;10,4527317;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,444281;1.471.391;11.915.697;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,468426;1.471.871;11.940.323;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,434483;1.407.091;11.841.600;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,437104;1.448.587;11.885.718;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,464853;1.510.059;11.974.936;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,449354;1.471.461;11.920.843;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,452944;1.535.369;11.988.337;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,455933;1.500.012;11.955.967;;;;;;;;;;;;;;;;;;;;;
pth;1;8192;10,452013;1.457.961;11.910.001;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000183;0,019650;0,019856;0,000143;0,01394;;0,065354;;;;;;;;;;;;;;;;;
pth;2;16;0,000134;0,000035;0,000176;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000178;0,000069;0,000259;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000147;0,000063;0,000220;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000153;0,000060;0,000225;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000141;0,000034;0,000181;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000143;0,000036;0,000185;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000145;0,000034;0,000186;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000095;0,000034;0,000136;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000114;0,000056;0,000181;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000161;0,000073;0,000248;0,000209;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000153;0,000044;0,000204;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000291;0,000079;0,000383;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000240;0,000051;0,000298;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000196;0,000049;0,000251;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000161;0,000047;0,000215;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000163;0,000074;0,000249;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000197;0,000074;0,000281;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000253;0,000073;0,000336;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000272;0,000092;0,000376;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000586;0,000094;0,000688;0,000592;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000411;0,000181;0,000603;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000413;0,000238;0,000663;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000683;0,000155;0,000848;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000408;0,000154;0,000573;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000770;0,000163;0,000946;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000677;0,000160;0,000849;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000689;0,000175;0,000877;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000589;0,000101;0,000697;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000693;0,000238;0,000945;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002278;0,000462;0,002752;0,002251;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002075;0,000326;0,002408;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002744;0,000525;0,003283;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,001396;0,000530;0,001940;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,001410;0,000746;0,002171;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,001799;0,000266;0,002072;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002755;0,000512;0,003282;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002774;0,000482;0,003270;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002800;0,000299;0,003107;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002479;0,000268;0,002753;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,006845;0,001077;0,007929;0,007812;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,008286;0,000984;0,009282;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,005404;0,001903;0,007322;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,009543;0,001955;0,011512;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,008970;0,001073;0,010052;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,010063;0,001004;0,011080;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,007617;0,001488;0,009119;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,006762;0,002217;0,008992;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,009328;0,001955;0,011296;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,005303;0,001950;0,007269;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,026924;0,007554;0,034496;0,026504;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,025145;0,004144;0,029307;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,028071;0,004131;0,032222;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,027642;0,007913;0,035577;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,028483;0,004593;0,033097;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,027740;0,007046;0,034809;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,024260;0,010776;0,035056;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,023373;0,011051;0,034443;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,026902;0,006957;0,033882;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,026498;0,005861;0,032379;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,089469;0,019426;0,108921;0,087761;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,086653;0,020943;0,107613;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,090816;0,020942;0,111778;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,089031;0,017487;0,106541;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,086964;0,023152;0,110140;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,088773;0,022944;0,111740;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,086784;0,020961;0,107765;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,087877;0,022354;0,110252;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,087969;0,019176;0,107166;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,083274;0,018544;0,101841;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,342001;0,083360;0,425380;0,343414;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,340905;0,076447;0,417375;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,343394;0,087564;0,430979;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,339569;0,085167;0,424758;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,342900;0,088052;0,430972;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,352907;0,085215;0,438138;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,357574;0,081877;0,439476;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,339141;0,084095;0,423258;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,337285;0,079850;0,417158;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,338465;0,089111;0,427604;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,342342;0,368673;1.711.049;1,342250;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,336382;0,387870;1.724.274;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,333029;0,363786;1.696.836;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,338199;0,350582;1.688.809;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,341914;0,371504;1.713.444;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,353257;2.475.856;3.829.137;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,337013;0,373518;1.710.552;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,340611;0,347603;1.688.234;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,350369;0,362026;1.712.421;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,349380;0,347961;1.697.366;;;;;;;;;;;;;;;;;;;;;
